"","entrezgene_id","model_gene","ensembl_gene_id"
"486",2235,2235.1,"ENSG00000066926"
"487",2243,2243.1,"ENSG00000171560"
"488",2271,2271.1,"ENSG00000091483"
"489",2326,2326.1,"ENSG00000010932"
"490",2327,2327.1,"ENSG00000094963"
"491",2328,2328.1,"ENSG00000007933"
"492",2329,2329.1,"ENSG00000076258"
"493",2330,2330.1,"ENSG00000131781"
"494",2348,2348.1,"ENSG00000110195"
"495",2348,2348.6,"ENSG00000110195"
"496",2348,2348.3,"ENSG00000110195"
"497",2348,2348.2,"ENSG00000110195"
"498",2348,2348.4,"ENSG00000110195"
"499",2348,2348.5,"ENSG00000110195"
"500",2350,2350.1,"ENSG00000165457"
"501",2352,2352.1,"ENSG00000110203"
"502",2356,2356.1,"ENSG00000136877"
"503",2495,2495.1,"ENSG00000167996"
"504",2512,2512.1,"ENSG00000087086"
"505",2517,2517.1,"ENSG00000179163"
"506",2519,2519.1,"ENSG00000001036"
"507",2523,2523.1,"ENSG00000174951"
"508",2525,2525.1,"ENSG00000171124"
"509",2530,2530.1,"ENSG00000033170"
"510",2530,2530.3,"ENSG00000033170"
"511",2530,2530.4,"ENSG00000033170"
"512",2530,2530.5,"ENSG00000033170"
"513",2530,2530.2,"ENSG00000033170"
"514",2531,2531.1,"ENSG00000119537"
"515",2538,2538.1,"ENSG00000131482"
"516",2539,2539.1,"ENSG00000160211"
"517",2542,2542.1,"ENSG00000137700"
"518",2542,2542.1,"ENSG00000281500"
"519",2548,2548.1,"ENSG00000171298"
"520",2571,2571.2,"ENSG00000128683"
"521",2571,2571.1,"ENSG00000128683"
"522",2572,2572.1,"ENSG00000136750"
"523",2581,2581.1,"ENSG00000054983"
"524",2582,2582.2,"ENSG00000117308"
"525",2582,2582.1,"ENSG00000117308"
"526",2583,2583.1,"ENSG00000135454"
"527",2584,2584.1,"ENSG00000108479"
"528",2585,2585.2,"ENSG00000156958"
"529",2585,2585.1,"ENSG00000156958"
"530",2588,2588.1,"ENSG00000141012"
"531",2589,2589.1,"ENSG00000141429"
"532",2590,2590.1,"ENSG00000143641"
"533",2591,2591.1,"ENSG00000115339"
"534",2592,2592.2,"ENSG00000213930"
"535",2592,2592.3,"ENSG00000213930"
"536",2592,2592.1,"ENSG00000213930"
"537",2593,2593.1,"ENSG00000130005"
"538",2593,2593.2,"ENSG00000130005"
"539",2595,2595.1,"ENSG00000214013"
"540",2597,2597.1,"ENSG00000111640"
"541",2618,2618.1,"ENSG00000159131"
"542",2618,2618.1,"ENSG00000262473"
"543",2618,2618.2,"ENSG00000159131"
"544",2618,2618.2,"ENSG00000262473"
"545",2628,2628.1,"ENSG00000171766"
"546",2629,2629.5,"ENSG00000177628"
"547",2629,2629.5,"ENSG00000262446"
"548",2629,2629.3,"ENSG00000177628"
"549",2629,2629.3,"ENSG00000262446"
"550",2629,2629.4,"ENSG00000177628"
"551",2629,2629.4,"ENSG00000262446"
"552",2629,2629.2,"ENSG00000177628"
"553",2629,2629.2,"ENSG00000262446"
"554",2629,2629.1,"ENSG00000177628"
"555",2629,2629.1,"ENSG00000262446"
"556",2632,2632.1,"ENSG00000114480"
"557",2638,2638.1,"ENSG00000145321"
"558",2639,2639.1,"ENSG00000105607"
"559",2639,2639.2,"ENSG00000105607"
"560",2643,2643.1,"ENSG00000131979"
"561",2645,2645.1,"ENSG00000106633"
"562",2645,2645.3,"ENSG00000106633"
"563",2645,2645.2,"ENSG00000106633"
"564",2650,2650.1,"ENSG00000187210"
"565",2651,2651.1,"ENSG00000285222"
"566",2651,2651.1,"ENSG00000111846"
"567",2653,2653.1,"ENSG00000140905"
"568",2673,2673.1,"ENSG00000198380"
"569",2678,2678.3,"ENSG00000100031"
"570",2678,2678.3,"ENSG00000286070"
"571",2678,2678.2,"ENSG00000100031"
"572",2678,2678.2,"ENSG00000286070"
"573",2678,2678.1,"ENSG00000100031"
"574",2678,2678.1,"ENSG00000286070"
"575",2683,2683.1,"ENSG00000086062"
